Date,Month ,Day,Country,Cumulative number of case(s),Number of deaths,Number recovered
"April 1, 2003",April,1,Australia,1,0,0
"April 2, 2003",April,2,Australia,1,0,0
"April 3, 2003",April,3,Australia,1,0,0
"April 4, 2003",April,4,Australia,1,0,0
"April 5, 2003",April,5,Australia,1,0,0
"April 7, 2003",April,7,Australia,1,0,0
"April 8, 2003",April,8,Australia,1,0,0
"April 17, 2003",April,17,Australia,3,0,3
"April 18, 2003",April,18,Australia,3,0,3
"April 19, 2003",April,19,Australia,3,0,3
"April 21, 2003",April,21,Australia,3,0,3
"April 22, 2003",April,22,Australia,3,0,3
"April 23, 2003",April,23,Australia,4,0,3
"May 22, 2003",May,22,Australia,6,0,6
"May 28, 2003",May,28,Australia,6,0,6
"May 29, 2003",May,29,Australia,6,0,6
"June 30, 2003",June,30,Australia,5,0,5
"April 1, 2003",April,1,Belgium,1,0,0
"April 2, 2003",April,2,Belgium,1,0,0
"April 3, 2003",April,3,Belgium,1,0,0
"April 4, 2003",April,4,Belgium,1,0,0
"April 5, 2003",April,5,Belgium,1,0,0
"April 3, 2003",April,3,Brazil,1,0,0
"April 4, 2003",April,4,Brazil,1,0,0
"April 5, 2003",April,5,Brazil,1,0,0
"April 7, 2003",April,7,Brazil,1,0,0
"April 8, 2003",April,8,Brazil,1,0,0
"April 9, 2003",April,9,Brazil,1,0,0
"April 10, 2003",April,10,Brazil,2,0,0
"April 11, 2003",April,11,Brazil,2,0,0
"April 12, 2003",April,12,Brazil,2,0,0
"April 14, 2003",April,14,Brazil,2,0,0
"April 15, 2003",April,15,Brazil,2,0,0
"April 16, 2003",April,16,Brazil,2,0,0
"April 17, 2003",April,17,Brazil,2,0,0
"April 18, 2003",April,18,Brazil,2,0,0
"April 19, 2003",April,19,Brazil,2,0,0
"April 21, 2003",April,21,Brazil,2,0,0
"April 22, 2003",April,22,Brazil,2,0,0
"April 23, 2003",April,23,Brazil,2,0,0
"April 24, 2003",April,24,Brazil,2,0,2
"April 25, 2003",April,25,Brazil,2,0,2
"April 26, 2003",April,26,Brazil,2,0,2
"April 28, 2003",April,28,Brazil,2,0,2
"April 29, 2003",April,29,Brazil,2,0,2
"April 30, 2003",April,30,Brazil,2,0,2
"May 1, 2003",May,1,Brazil,2,0,2
"May 2, 2003",May,2,Brazil,2,0,2
"May 3, 2003",May,3,Brazil,2,0,2
"May 5, 2003",May,5,Brazil,2,0,2
"May 6, 2003",May,6,Brazil,2,0,2
"May 7, 2003",May,7,Brazil,2,0,2
"May 8, 2003",May,8,Brazil,2,0,2
"May 9, 2003",May,9,Brazil,2,0,2
"May 10, 2003",May,10,Brazil,2,0,2
"May 12, 2003",May,12,Brazil,2,0,2
"May 13, 2003",May,13,Brazil,2,0,2
"May 14, 2003",May,14,Brazil,2,0,2
"May 15, 2003",May,15,Brazil,2,0,2
"May 16, 2003",May,16,Brazil,2,0,2
"May 17, 2003",May,17,Brazil,2,0,2
"May 19, 2003",May,19,Brazil,2,0,2
"May 20, 2003",May,20,Brazil,2,0,2
"May 21, 2003",May,21,Brazil,2,0,2
"May 22, 2003",May,22,Brazil,2,0,2
"May 23, 2003",May,23,Brazil,2,0,2
"May 24, 2003",May,24,Brazil,2,0,2
"May 26, 2003",May,26,Brazil,2,0,2
"May 27, 2003",May,27,Brazil,2,0,2
"May 28, 2003",May,28,Brazil,2,0,2
"May 29, 2003",May,29,Brazil,2,0,2
"May 30, 2003",May,30,Brazil,2,0,2
"May 31, 2003",May,31,Brazil,2,0,2
"June 2, 2003",June,2,Brazil,2,0,2
"June 3, 2003",June,3,Brazil,2,0,2
"June 4, 2003",June,4,Brazil,2,0,2
"June 5, 2003",June,5,Brazil,2,0,2
"June 6, 2003",June,6,Brazil,2,0,2
"June 9, 2003",June,9,Brazil,2,0,2
"June 10, 2003",June,10,Brazil,3,0,2
"June 11, 2003",June,11,Brazil,3,0,2
"June 12, 2003",June,12,Brazil,3,0,2
"June 13, 2003",June,13,Brazil,3,0,2
"June 16, 2003",June,16,Brazil,3,0,2
"June 17, 2003",June,17,Brazil,3,0,2
"June 18, 2003",June,18,Brazil,3,0,2
"June 19, 2003",June,19,Brazil,3,0,2
"June 20, 2003",June,20,Brazil,3,0,2
"June 23, 2003",June,23,Brazil,3,0,2
"June 24, 2003",June,24,Brazil,3,0,2
"June 25, 2003",June,25,Brazil,3,0,2
"June 26, 2003",June,26,Brazil,3,0,2
"June 27, 2003",June,27,Brazil,3,0,2
"June 30, 2003",June,30,Brazil,3,0,2
"July 1, 2003",July,1,Brazil,1,0,1
"July 2, 2003",July,2,Brazil,1,0,1
"July 3, 2003",July,3,Brazil,1,0,1
"July 4, 2003",July,4,Brazil,1,0,1
"July 7, 2003",July,7,Brazil,1,0,1
"July 8, 2003",July,8,Brazil,1,0,1
"July 9, 2003",July,9,Brazil,1,0,1
"July 10, 2003",July,10,Brazil,1,0,1
"July 11, 2003",July,11,Brazil,1,0,1
"April 24, 2003",April,24,Bulgaria,1,0,0
"April 25, 2003",April,25,Bulgaria,1,0,0
"April 26, 2003",April,26,Bulgaria,1,0,0
"April 28, 2003",April,28,Bulgaria,1,0,0
"April 29, 2003",April,29,Bulgaria,1,0,0
"April 30, 2003",April,30,Bulgaria,1,0,0
"May 1, 2003",May,1,Bulgaria,1,0,0
"May 2, 2003",May,2,Bulgaria,1,0,0
"May 3, 2003",May,3,Bulgaria,1,0,0
"May 5, 2003",May,5,Bulgaria,1,0,0
"May 6, 2003",May,6,Bulgaria,1,0,0
"May 7, 2003",May,7,Bulgaria,1,0,0
"May 8, 2003",May,8,Bulgaria,1,0,0
"May 9, 2003",May,9,Bulgaria,1,0,0
"May 10, 2003",May,10,Bulgaria,1,0,0
"May 12, 2003",May,12,Bulgaria,1,0,0
"May 13, 2003",May,13,Bulgaria,1,0,0
"May 14, 2003",May,14,Bulgaria,1,0,0
"May 15, 2003",May,15,Bulgaria,1,0,0
"May 16, 2003",May,16,Bulgaria,1,0,0
"March 17, 2003",March,17,Canada,8,2,0
